mz_rt,estimate,estimate1,estimate2,.y.,group1,group2,n1,n2,statistic,p,df,conf.low,conf.high,method,alternative,p.signif
253.1528_2.66,25886.862318840584,66247.16666666667,40360.30434782609,rel_abund,Control,Tomato,12,23,2.3765098653999224,0.0273,20.472864393094554,3198.4633777775134,48575.26125990365,T-test,two.sided,*
253.168_6.66,-11470.456521739135,65020.5,76490.95652173914,rel_abund,Control,Tomato,12,23,-2.4349375599572443,0.0216,27.863054589583935,-21122.190189810375,-1818.7228536678988,T-test,two.sided,*
255.0896_2.61,-34141.32971014493,2031.5833333333333,36172.913043478264,rel_abund,Control,Tomato,12,23,-9.259618004258455,1.66e-9,24.698874920402666,-41739.79424448848,-26542.86517580138,T-test,two.sided,****
258.0505_1.12,25570.27536231882,163010.66666666666,137440.39130434784,rel_abund,Control,Tomato,12,23,2.5182751188110664,0.0185,25.13806340882964,4663.780472268707,46476.77025236893,T-test,two.sided,*
261.1556_3.33,-14788.144927536236,23945.333333333332,38733.47826086957,rel_abund,Control,Tomato,12,23,-2.2849416007421435,0.0341,18.88731326745907,-28339.671410049723,-1236.6184450227454,T-test,two.sided,*
261.1577_2.63,312255.7173913043,1308305.5,996049.7826086957,rel_abund,Control,Tomato,12,23,2.2487290652492575,0.0418,13.487662897391887,13368.461489889849,611142.9732927188,T-test,two.sided,*
262.156_6.23,-51167.39855072464,27441.166666666668,78608.56521739131,rel_abund,Control,Tomato,12,23,-7.65117230775679,4.58e-8,25.516923622314984,-64926.478057091335,-37408.31904435795,T-test,two.sided,****
262.2296_9.89,255001.32608695654,693340.5,438339.17391304346,rel_abund,Control,Tomato,12,23,2.4204339343010783,0.0263,17.961991820487995,33628.13802550368,476374.5141484093,T-test,two.sided,*
263.1191_2.93,-10313.427536231884,24242.833333333332,34556.260869565216,rel_abund,Control,Tomato,12,23,-2.1144164345689855,0.0457,22.619368325231534,-20413.06230804631,-213.79276441745887,T-test,two.sided,*
264.075_0.56,70744.21376811594,125846.08333333333,55101.86956521739,rel_abund,Control,Tomato,12,23,2.8879384424064605,0.0134,12.24470339208174,17489.11348297405,123999.31405325781,T-test,two.sided,*
